City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
424,Meulaboh,4.1363,96.1285,76.1,87,100,3.06,ID,1675886865
425,Marandahalli,12.4,78.0,66.76,71,75,1.83,IN,1675886866
426,Sistranda,63.7256,8.834,44.56,65,100,12.86,NO,1675886866
427,Tarpon springs,28.1461,-82.7568,83.1,52,0,6.91,US,1675886867
428,Show low,34.2542,-110.0298,44.08,38,0,12.66,US,1675886867
429,Lethem,3.3803,-59.7968,89.65,46,90,8.79,GY,1675886868
430,Nur,52.6683,22.3221,26.1,92,29,6.58,PL,1675886868
431,Englewood,39.6478,-104.9878,51.39,25,40,11.5,US,1675886869
432,Mapastepec,15.4333,-92.9,93.29,33,0,12.08,MX,1675886869
433,Asosa,10.0667,34.5333,67.82,35,0,3.71,ET,1675886870
434,Itapirapua,-15.8233,-50.6133,84.96,70,95,3.2,BR,1675886871
435,Dinghai,26.2847,119.7936,51.78,90,100,9.62,CN,1675886871
436,Kudahuvadhoo,2.6708,72.8944,80.96,70,73,7.81,MV,1675886872
437,Phangnga,8.4509,98.5298,78.84,94,66,3.24,TH,1675886872
438,Diplo,24.4667,69.584,67.8,53,34,8.57,PK,1675886873
439,Hami,42.8,93.45,32.09,57,1,6.51,CN,1675886873
440,Kasongo,-4.45,26.6667,67.12,89,82,2.21,CD,1675886874
441,Alta floresta,-9.8756,-56.0861,82.13,75,100,0.94,BR,1675886874
442,Praya,14.9215,-23.5087,70.34,68,75,16.11,CV,1675886875
443,Dandong,40.1292,124.3947,26.26,42,97,6.42,CN,1675886875
444,Victor harbor,-35.5667,138.6167,67.68,83,4,3.29,AU,1675886876
445,Kamenka,51.3223,42.7678,4.6,98,77,5.1,RU,1675886876
446,Huarmey,-10.0681,-78.1522,77.86,73,43,10.98,PE,1675886877
447,Sandeid,59.5449,5.8636,46.49,92,100,15.43,NO,1675886877
448,Zemio,5.0314,25.1361,74.01,18,75,4.05,CF,1675886878
449,Ribeira grande,38.5167,-28.7,55.8,62,20,8.01,PT,1675886878
450,Bonavista,48.6499,-53.1147,30.02,97,100,18.72,CA,1675886879
451,Chabahar,25.2919,60.643,72.14,81,6,4.05,IR,1675886879
452,Tura,25.5198,90.2201,59.36,61,2,3.58,IN,1675886880
453,Mukhen,48.1,136.1,-7.94,94,98,5.59,RU,1675886881
454,Saint-francois,46.4154,3.9054,33.96,83,1,0.0,FR,1675886847
455,Teya,60.3778,92.6267,-0.44,99,100,2.95,RU,1675886882
456,Ravar,31.2656,56.8055,52.84,28,0,15.52,IR,1675886883
457,Abu samrah,35.3029,37.1841,36.18,57,0,7.99,SY,1675886884
458,Maloy,61.9353,5.1136,44.33,85,100,48.34,NO,1675886885
459,Bicester,51.9,-1.1536,37.51,84,29,10.36,GB,1675886887
460,Provideniya,64.3833,-173.3,-18.29,95,92,3.94,RU,1675886888
